DATE,DGS1MO
2015-08-01,0.00
2015-09-01,0.00
2015-10-01,0.01
2015-11-01,0.11
2015-12-01,0.14
2016-01-01,0.22
2016-02-01,0.23
2016-03-01,0.18
2016-04-01,0.16
2016-05-01,0.27
2016-06-01,0.20
2016-07-01,0.19
2016-08-01,0.26
2016-09-01,0.20
2016-10-01,0.20
2016-11-01,0.38
2016-12-01,0.44
2017-01-01,0.50
2017-02-01,0.40
2017-03-01,0.74
2017-04-01,0.68
2017-05-01,0.86
2017-06-01,0.84
2017-07-01,1.00
2017-08-01,0.95
2017-09-01,0.96
2017-10-01,0.99
2017-11-01,1.14
2017-12-01,1.28
2018-01-01,1.43
2018-02-01,1.50
2018-03-01,1.63
2018-04-01,1.65
2018-05-01,1.76
2018-06-01,1.77
2018-07-01,1.94
2018-08-01,1.95
2018-09-01,2.12
2018-10-01,2.20
2018-11-01,2.31
2018-12-01,2.44
2019-01-01,2.42
2019-02-01,2.44
2019-03-01,2.43
2019-04-01,2.43
2019-05-01,2.35
2019-06-01,2.18
2019-07-01,2.01
2019-08-01,2.10
2019-09-01,1.91
2019-10-01,1.59
2019-11-01,1.62
2019-12-01,1.48
2020-01-01,1.56
2020-02-01,1.45
2020-03-01,0.05
2020-04-01,0.10
2020-05-01,0.13
2020-06-01,0.13
